x-axis,B
second,Volt
-50.000E-03,+859.375E-03
-49.900E-03,+937.500E-03
-49.800E-03,+968.750E-03
-49.700E-03,+984.375E-03
-49.600E-03,+921.875E-03
-49.500E-03,+843.750E-03
-49.400E-03,+781.250E-03
-49.300E-03,+703.125E-03
-49.200E-03,+687.500E-03
-49.100E-03,+750.000E-03
-49.000E-03,+828.125E-03
-48.900E-03,+921.875E-03
-48.800E-03,+953.125E-03
-48.700E-03,+953.125E-03
-48.600E-03,+906.250E-03
-48.500E-03,+812.500E-03
-48.400E-03,+718.750E-03
-48.300E-03,+656.250E-03
-48.200E-03,+656.250E-03
-48.100E-03,+718.750E-03
-48.000E-03,+796.875E-03
-47.900E-03,+890.625E-03
-47.800E-03,+937.500E-03
-47.700E-03,+921.875E-03
-47.600E-03,+843.750E-03
-47.500E-03,+750.000E-03
-47.400E-03,+656.250E-03
-47.300E-03,+609.375E-03
-47.200E-03,+593.750E-03
-47.100E-03,+687.500E-03
-47.000E-03,+765.625E-03
-46.900E-03,+875.000E-03
-46.800E-03,+906.250E-03
-46.700E-03,+875.000E-03
-46.600E-03,+812.500E-03
-46.500E-03,+703.125E-03
-46.400E-03,+593.750E-03
-46.300E-03,+562.500E-03
-46.200E-03,+546.875E-03
-46.100E-03,+640.625E-03
-46.000E-03,+718.750E-03
-45.900E-03,+843.750E-03
-45.800E-03,+859.375E-03
-45.700E-03,+828.125E-03
-45.600E-03,+734.375E-03
-45.500E-03,+625.000E-03
-45.400E-03,+531.250E-03
-45.300E-03,+484.375E-03
-45.200E-03,+515.625E-03
-45.100E-03,+593.750E-03
-45.000E-03,+703.125E-03
-44.900E-03,+796.875E-03
-44.800E-03,+812.500E-03
-44.700E-03,+781.250E-03
-44.600E-03,+656.250E-03
-44.500E-03,+546.875E-03
-44.400E-03,+484.375E-03
-44.300E-03,+421.875E-03
-44.200E-03,+468.750E-03
-44.100E-03,+531.250E-03
-44.000E-03,+671.875E-03
-43.900E-03,+750.000E-03
-43.800E-03,+765.625E-03
-43.700E-03,+703.125E-03
-43.600E-03,+609.375E-03
-43.500E-03,+484.375E-03
-43.400E-03,+375.000E-03
-43.300E-03,+359.375E-03
-43.200E-03,+421.875E-03
-43.100E-03,+500.000E-03
-43.000E-03,+625.000E-03
-42.900E-03,+703.125E-03
-42.800E-03,+734.375E-03
-42.700E-03,+640.625E-03
-42.600E-03,+515.625E-03
-42.500E-03,+390.625E-03
-42.400E-03,+328.125E-03
-42.300E-03,+296.875E-03
-42.200E-03,+343.750E-03
-42.100E-03,+468.750E-03
-42.000E-03,+562.500E-03
-41.900E-03,+640.625E-03
-41.800E-03,+656.250E-03
-41.700E-03,+578.125E-03
-41.600E-03,+453.125E-03
-41.500E-03,+328.125E-03
-41.400E-03,+218.750E-03
-41.300E-03,+218.750E-03
-41.200E-03,+281.250E-03
-41.100E-03,+390.625E-03
-41.000E-03,+515.625E-03
-40.900E-03,+593.750E-03
-40.800E-03,+593.750E-03
-40.700E-03,+500.000E-03
-40.600E-03,+375.000E-03
-40.500E-03,+250.000E-03
-40.400E-03,+156.250E-03
-40.300E-03,+171.875E-03
-40.200E-03,+234.375E-03
-40.100E-03,+343.750E-03
-40.000E-03,+468.750E-03
-39.900E-03,+531.250E-03
-39.800E-03,+500.000E-03
-39.700E-03,+421.875E-03
-39.600E-03,+296.875E-03
-39.500E-03,+171.875E-03
-39.400E-03,+93.750E-03
-39.300E-03,+78.125E-03
-39.200E-03,+171.875E-03
-39.100E-03,+281.250E-03
-39.000E-03,+390.625E-03
-38.900E-03,+437.500E-03
-38.800E-03,+421.875E-03
-38.700E-03,+312.500E-03
-38.600E-03,+187.500E-03
-38.500E-03,+62.500E-03
-38.400E-03,+15.625E-03
-38.300E-03,+31.250E-03
-38.200E-03,+125.000E-03
-38.100E-03,+234.375E-03
-38.000E-03,+343.750E-03
-37.900E-03,+375.000E-03
-37.800E-03,+328.125E-03
-37.700E-03,+218.750E-03
-37.600E-03,+109.375E-03
-37.500E-03,+15.625E-03
-37.400E-03,-46.875E-03
-37.300E-03,-31.250E-03
-37.200E-03,+62.500E-03
-37.100E-03,+156.250E-03
-37.000E-03,+265.625E-03
-36.900E-03,+281.250E-03
-36.800E-03,+265.625E-03
-36.700E-03,+140.625E-03
-36.600E-03,-0.0E+00
-36.500E-03,-93.750E-03
-36.400E-03,-109.375E-03
-36.300E-03,-93.750E-03
-36.200E-03,-31.250E-03
-36.100E-03,+109.375E-03
-36.000E-03,+171.875E-03
-35.900E-03,+218.750E-03
-35.800E-03,+187.500E-03
-35.700E-03,+62.500E-03
-35.600E-03,-31.250E-03
-35.500E-03,-156.250E-03
-35.400E-03,-171.875E-03
-35.300E-03,-156.250E-03
-35.200E-03,-78.125E-03
-35.100E-03,+31.250E-03
-35.000E-03,+140.625E-03
-34.900E-03,+125.000E-03
-34.800E-03,+78.125E-03
-34.700E-03,-46.875E-03
-34.600E-03,-156.250E-03
-34.500E-03,-265.625E-03
-34.400E-03,-250.000E-03
-34.300E-03,-218.750E-03
-34.200E-03,-109.375E-03
-34.100E-03,-15.625E-03
-34.000E-03,+46.875E-03
-33.900E-03,+62.500E-03
-33.800E-03,-15.625E-03
-33.700E-03,-125.000E-03
-33.600E-03,-234.375E-03
-33.500E-03,-312.500E-03
-33.400E-03,-328.125E-03
-33.300E-03,-296.875E-03
-33.200E-03,-187.500E-03
-33.100E-03,-62.500E-03
-33.000E-03,-0.0E+00
-32.900E-03,-31.250E-03
-32.800E-03,-109.375E-03
-32.700E-03,-218.750E-03
-32.600E-03,-312.500E-03
-32.500E-03,-390.625E-03
-32.400E-03,-390.625E-03
-32.300E-03,-312.500E-03
-32.200E-03,-218.750E-03
-32.100E-03,-156.250E-03
-32.000E-03,-93.750E-03
-31.900E-03,-109.375E-03
-31.800E-03,-187.500E-03
-31.700E-03,-296.875E-03
-31.600E-03,-406.250E-03
-31.500E-03,-437.500E-03
-31.400E-03,-453.125E-03
-31.300E-03,-390.625E-03
-31.200E-03,-281.250E-03
-31.100E-03,-218.750E-03
-31.000E-03,-156.250E-03
-30.900E-03,-171.875E-03
-30.800E-03,-265.625E-03
-30.700E-03,-375.000E-03
-30.600E-03,-453.125E-03
-30.500E-03,-500.000E-03
-30.400E-03,-484.375E-03
-30.300E-03,-421.875E-03
-30.200E-03,-359.375E-03
-30.100E-03,-281.250E-03
-30.000E-03,-265.625E-03
-29.900E-03,-265.625E-03
-29.800E-03,-359.375E-03
-29.700E-03,-437.500E-03
-29.600E-03,-531.250E-03
-29.500E-03,-562.500E-03
-29.400E-03,-531.250E-03
-29.300E-03,-484.375E-03
-29.200E-03,-406.250E-03
-29.100E-03,-343.750E-03
-29.000E-03,-328.125E-03
-28.900E-03,-359.375E-03
-28.800E-03,-437.500E-03
-28.700E-03,-515.625E-03
-28.600E-03,-578.125E-03
-28.500E-03,-609.375E-03
-28.400E-03,-609.375E-03
-28.300E-03,-546.875E-03
-28.200E-03,-468.750E-03
-28.100E-03,-406.250E-03
-28.000E-03,-406.250E-03
-27.900E-03,-437.500E-03
-27.800E-03,-500.000E-03
-27.700E-03,-578.125E-03
-27.600E-03,-625.000E-03
-27.500E-03,-640.625E-03
-27.400E-03,-640.625E-03
-27.300E-03,-578.125E-03
-27.200E-03,-500.000E-03
-27.100E-03,-468.750E-03
-27.000E-03,-453.125E-03
-26.900E-03,-500.000E-03
-26.800E-03,-562.500E-03
-26.700E-03,-625.000E-03
-26.600E-03,-687.500E-03
-26.500E-03,-687.500E-03
-26.400E-03,-671.875E-03
-26.300E-03,-609.375E-03
-26.200E-03,-593.750E-03
-26.100E-03,-531.250E-03
-26.000E-03,-546.875E-03
-25.900E-03,-578.125E-03
-25.800E-03,-625.000E-03
-25.700E-03,-671.875E-03
-25.600E-03,-734.375E-03
-25.500E-03,-734.375E-03
-25.400E-03,-734.375E-03
-25.300E-03,-656.250E-03
-25.200E-03,-625.000E-03
-25.100E-03,-578.125E-03
-25.000E-03,-593.750E-03
-24.900E-03,-656.250E-03
-24.800E-03,-671.875E-03
-24.700E-03,-718.750E-03
-24.600E-03,-750.000E-03
-24.500E-03,-750.000E-03
-24.400E-03,-750.000E-03
-24.300E-03,-718.750E-03
-24.200E-03,-671.875E-03
-24.100E-03,-656.250E-03
-24.000E-03,-656.250E-03
-23.900E-03,-687.500E-03
-23.800E-03,-718.750E-03
-23.700E-03,-765.625E-03
-23.600E-03,-796.875E-03
-23.500E-03,-781.250E-03
-23.400E-03,-781.250E-03
-23.300E-03,-734.375E-03
-23.200E-03,-734.375E-03
-23.100E-03,-718.750E-03
-23.000E-03,-718.750E-03
-22.900E-03,-718.750E-03
-22.800E-03,-765.625E-03
-22.700E-03,-765.625E-03
-22.600E-03,-796.875E-03
-22.500E-03,-812.500E-03
-22.400E-03,-812.500E-03
-22.300E-03,-796.875E-03
-22.200E-03,-765.625E-03
-22.100E-03,-765.625E-03
-22.000E-03,-765.625E-03
-21.900E-03,-750.000E-03
-21.800E-03,-781.250E-03
-21.700E-03,-781.250E-03
-21.600E-03,-781.250E-03
-21.500E-03,-812.500E-03
-21.400E-03,-828.125E-03
-21.300E-03,-812.500E-03
-21.200E-03,-812.500E-03
-21.100E-03,-812.500E-03
-21.000E-03,-796.875E-03
-20.900E-03,-796.875E-03
-20.800E-03,-781.250E-03
-20.700E-03,-812.500E-03
-20.600E-03,-828.125E-03
-20.500E-03,-828.125E-03
-20.400E-03,-859.375E-03
-20.300E-03,-859.375E-03
-20.200E-03,-859.375E-03
-20.100E-03,-828.125E-03
-20.000E-03,-812.500E-03
-19.900E-03,-812.500E-03
-19.800E-03,-796.875E-03
-19.700E-03,-796.875E-03
-19.600E-03,-796.875E-03
-19.500E-03,-796.875E-03
-19.400E-03,-859.375E-03
-19.300E-03,-859.375E-03
-19.200E-03,-859.375E-03
-19.100E-03,-875.000E-03
-19.000E-03,-828.125E-03
-18.900E-03,-796.875E-03
-18.800E-03,-812.500E-03
-18.700E-03,-796.875E-03
-18.600E-03,-796.875E-03
-18.500E-03,-796.875E-03
-18.400E-03,-859.375E-03
-18.300E-03,-890.625E-03
-18.200E-03,-890.625E-03
-18.100E-03,-890.625E-03
-18.000E-03,-859.375E-03
-17.900E-03,-812.500E-03
-17.800E-03,-796.875E-03
-17.700E-03,-781.250E-03
-17.600E-03,-796.875E-03
-17.500E-03,-828.125E-03
-17.400E-03,-859.375E-03
-17.300E-03,-906.250E-03
-17.200E-03,-921.875E-03
-17.100E-03,-875.000E-03
-17.000E-03,-843.750E-03
-16.900E-03,-828.125E-03
-16.800E-03,-765.625E-03
-16.700E-03,-734.375E-03
-16.600E-03,-781.250E-03
-16.500E-03,-796.875E-03
-16.400E-03,-859.375E-03
-16.300E-03,-906.250E-03
-16.200E-03,-890.625E-03
-16.100E-03,-875.000E-03
-16.000E-03,-859.375E-03
-15.900E-03,-781.250E-03
-15.800E-03,-734.375E-03
-15.700E-03,-734.375E-03
-15.600E-03,-734.375E-03
-15.500E-03,-796.875E-03
-15.400E-03,-859.375E-03
-15.300E-03,-906.250E-03
-15.200E-03,-890.625E-03
-15.100E-03,-890.625E-03
-15.000E-03,-812.500E-03
-14.900E-03,-765.625E-03
-14.800E-03,-718.750E-03
-14.700E-03,-687.500E-03
-14.600E-03,-718.750E-03
-14.500E-03,-796.875E-03
-14.400E-03,-859.375E-03
-14.300E-03,-890.625E-03
-14.200E-03,-921.875E-03
-14.100E-03,-890.625E-03
-14.000E-03,-812.500E-03
-13.900E-03,-734.375E-03
-13.800E-03,-671.875E-03
-13.700E-03,-656.250E-03
-13.600E-03,-703.125E-03
-13.500E-03,-750.000E-03
-13.400E-03,-828.125E-03
-13.300E-03,-890.625E-03
-13.200E-03,-890.625E-03
-13.100E-03,-828.125E-03
-13.000E-03,-750.000E-03
-12.900E-03,-671.875E-03
-12.800E-03,-625.000E-03
-12.700E-03,-609.375E-03
-12.600E-03,-656.250E-03
-12.500E-03,-703.125E-03
-12.400E-03,-828.125E-03
-12.300E-03,-875.000E-03
-12.200E-03,-859.375E-03
-12.100E-03,-812.500E-03
-12.000E-03,-718.750E-03
-11.900E-03,-625.000E-03
-11.800E-03,-562.500E-03
-11.700E-03,-562.500E-03
-11.600E-03,-625.000E-03
-11.500E-03,-703.125E-03
-11.400E-03,-796.875E-03
-11.300E-03,-828.125E-03
-11.200E-03,-828.125E-03
-11.100E-03,-750.000E-03
-11.000E-03,-687.500E-03
-10.900E-03,-578.125E-03
-10.800E-03,-515.625E-03
-10.700E-03,-515.625E-03
-10.600E-03,-578.125E-03
-10.500E-03,-640.625E-03
-10.400E-03,-765.625E-03
-10.300E-03,-812.500E-03
-10.200E-03,-781.250E-03
-10.100E-03,-703.125E-03
-10.000E-03,-625.000E-03
-9.900E-03,-500.000E-03
-9.800E-03,-453.125E-03
-9.700E-03,-468.750E-03
-9.600E-03,-562.500E-03
-9.500E-03,-625.000E-03
-9.400E-03,-734.375E-03
-9.300E-03,-765.625E-03
-9.200E-03,-750.000E-03
-9.100E-03,-656.250E-03
-9.000E-03,-562.500E-03
-8.900E-03,-437.500E-03
-8.800E-03,-390.625E-03
-8.700E-03,-406.250E-03
-8.600E-03,-515.625E-03
-8.500E-03,-625.000E-03
-8.400E-03,-703.125E-03
-8.300E-03,-734.375E-03
-8.200E-03,-687.500E-03
-8.100E-03,-578.125E-03
-8.000E-03,-484.375E-03
-7.900E-03,-406.250E-03
-7.800E-03,-343.750E-03
-7.700E-03,-359.375E-03
-7.600E-03,-468.750E-03
-7.500E-03,-546.875E-03
-7.400E-03,-640.625E-03
-7.300E-03,-687.500E-03
-7.200E-03,-625.000E-03
-7.100E-03,-531.250E-03
-7.000E-03,-406.250E-03
-6.900E-03,-296.875E-03
-6.800E-03,-281.250E-03
-6.700E-03,-296.875E-03
-6.600E-03,-406.250E-03
-6.500E-03,-500.000E-03
-6.400E-03,-593.750E-03
-6.300E-03,-625.000E-03
-6.200E-03,-562.500E-03
-6.100E-03,-453.125E-03
-6.000E-03,-312.500E-03
-5.900E-03,-250.000E-03
-5.800E-03,-218.750E-03
-5.700E-03,-250.000E-03
-5.600E-03,-343.750E-03
-5.500E-03,-468.750E-03
-5.400E-03,-531.250E-03
-5.300E-03,-546.875E-03
-5.200E-03,-484.375E-03
-5.100E-03,-359.375E-03
-5.000E-03,-250.000E-03
-4.900E-03,-156.250E-03
-4.800E-03,-125.000E-03
-4.700E-03,-187.500E-03
-4.600E-03,-281.250E-03
-4.500E-03,-406.250E-03
-4.400E-03,-484.375E-03
-4.300E-03,-500.000E-03
-4.200E-03,-437.500E-03
-4.100E-03,-296.875E-03
-4.000E-03,-171.875E-03
-3.900E-03,-93.750E-03
-3.800E-03,-62.500E-03
-3.700E-03,-140.625E-03
-3.600E-03,-234.375E-03
-3.500E-03,-359.375E-03
-3.400E-03,-421.875E-03
-3.300E-03,-421.875E-03
-3.200E-03,-343.750E-03
-3.100E-03,-203.125E-03
-3.000E-03,-78.125E-03
-2.900E-03,+0.0E+00
-2.800E-03,-0.0E+00
-2.700E-03,-62.500E-03
-2.600E-03,-187.500E-03
-2.500E-03,-296.875E-03
-2.400E-03,-359.375E-03
-2.300E-03,-343.750E-03
-2.200E-03,-234.375E-03
-2.100E-03,-140.625E-03
-2.000E-03,+0.0E+00
-1.900E-03,+46.875E-03
-1.800E-03,+78.125E-03
-1.700E-03,-31.250E-03
-1.600E-03,-140.625E-03
-1.500E-03,-250.000E-03
-1.400E-03,-281.250E-03
-1.300E-03,-234.375E-03
-1.200E-03,-140.625E-03
-1.100E-03,-31.250E-03
-1.000E-03,+93.750E-03
-900E-06,+140.625E-03
-800E-06,+109.375E-03
-700E-06,+31.250E-03
-600E-06,-78.125E-03
-500E-06,-171.875E-03
-400E-06,-203.125E-03
-300E-06,-171.875E-03
-200E-06,-62.500E-03
